id	duration	text
--7E2sU6zP4_10-5-rgb_front	15.22	And I call them decorative elements because basically all they're meant to do is to enrich and color the page.
--7E2sU6zP4_11-5-rgb_front	23.57	So they don't really have much of a symbolic meaning other than maybe life is richer, life is beautiful, but they've become so beautifully stylized and so you find them in different illuminative being rendered in very different ways.
--7E2sU6zP4_12-5-rgb_front	14.56	Now this is very, this is actually an insert of a kind of an envelope for stationary, and this is a very Italian design.
--7E2sU6zP4_13-5-rgb_front	6.01	This is all the you know, take off on the idea of the acanthus leaf.
--7E2sU6zP4_5-5-rgb_front	8.84	It's almost has a feathery like posture to it.
--7E2sU6zP4_6-5-rgb_front	16.77	And so, it's used in architecture as a decorative element in architecture on columns and so on, and it's also used a great deal in illumination.
--7E2sU6zP4_7-5-rgb_front	12.05	And so what's happened with the idea of acanthus leaf, is that it has is taken on all these different creative looks.
--7E2sU6zP4_8-5-rgb_front	15.18	And it has been wildly colored so you can look at some an acanthus leaf and you can start with the idea of a black and white drawing.
--7E2sU6zP4_9-5-rgb_front	9.97	Here, actually, I have some samples of traced acanthus leaves from different illuminated manuscripts.
--8pSDeC-fg_0-5-rgb_front	0.62	Hi.
--8pSDeC-fg_1-5-rgb_front	2.12	My name is Dr. Art Bowler.
--8pSDeC-fg_10-5-rgb_front	6.67	Are you always focused on the positive aspects of your physical self instead of the negative?
--8pSDeC-fg_11-5-rgb_front	2.5	If so you have high self esteem.
--8pSDeC-fg_12-5-rgb_front	10.42	Low self esteem tends to bring us down and there's a set of thoughts or cognitions that tend to go with low self esteem.
--8pSDeC-fg_13-5-rgb_front	5.46	Such as I am unlove, unlovable and no one will like me.
--8pSDeC-fg_14-5-rgb_front	19.42	By doing cognitive therapy and working on those thoughts, we can help our clients to feel better about themselves by gaining a more accurate appraisal of themselves, their situation and their environment.
--8pSDeC-fg_15-5-rgb_front	6.17	It's really important to notice if you have low self esteem because then you can do something about it.
--8pSDeC-fg_16-5-rgb_front	5.29	This is Dr. Art Bowler and this has been how to tell if you have low self esteem.
--8pSDeC-fg_2-5-rgb_front	5.75	And I'm a psychologist in Manhattan, New York City, where I have my own private practice.
--8pSDeC-fg_3-5-rgb_front	5.96	In this clip I'm going to talk about how to tell if you have low self esteem.
