video_name,caption,emotion
99370717.mp4,"But, you might wonder how I managed, with moving frequently, well I was home schooled.",Positive
99395897.mp4,so I didn`t need to worry about attending a hearing school or a Deaf school.,Negative
99454786.mp4,"My mother taught my two brothers and me, so it was easier for us to move around.",Positive
83594638.mp4,When I was nearly all done with RIT. after about my third year. my father sensed that he had pretty much had it with IBM; he wanted to retire and change his career.,Positive
83719008.mp4,"So, the family in fact move here, and I took the opportunity to move in and live with my family at the new house in Rochester.",Positive
254019.mp4,The study notices how the HIT group thinks that the glass wasn't broken at all.,Positive
254221.mp4,That's how powerful the language is.,Positive
254627.mp4,"The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are seven specialists for only two parents. Wow.",Positive
254830.mp4,Now parents often would start considering discussing with the hospital for the early intervention. But the word makes it seems like they are intervening.,Positive
255134.mp4,"Why don't we use ""early involvement"", which means involving the parents by sharing the resources and working together; and not intervening them.",Positive
256148.mp4,It would turn into a positive thing.,Positive
256554.mp4,The researches have proven that a child with a Deaf mentor often perform better. There is a research that studies two groups from Utah and Tennessee.,Positive
256758.mp4,"The study noticed that the Deaf child from Utah resulted in better social, emotion and cognitive developments.",Positive
256961.mp4,Be friends with their child's friend's parents. It's important to be connected and they must collaborate with others.,Positive
257266.mp4,"So, the family must have a Deaf role model supporting them.",Positive
745929.mp4,I hope John arrives on time next week.,Positive
7458912.mp4,I hope I pass the test next week.,Positive
7458714.mp4,This week I didn't save money.,Negative
7565512.mp4,"Wow, his/her friend is a tall man.",Positive
7566320.mp4,"Wow, he/she left fast.",Positive
7566321.mp4,Mary has many different friends.,Positive
7568958.mp4,I used to lie but now I tell the truth.,Positive
7569059.mp4,"Wow, it's raining now, whatever, I'm going out still.",Positive
7569160.mp4,Wow. There are so many big cakes of different kinds; do I have to pick one?,Positive
7569363.mp4,"Wow, that man knows George Clooney.",Positive
7569364.mp4,Now there is a big expensive house. It's really beautiful.,Positive
7569465.mp4,"Wow, that man recently bought something big, but I can't tell you what it is.",Positive
7569466.mp4,Pete loves driving; he has many different cars.,Positive
7569567.mp4,"I used to read the New York Times, but now I read the Boston Globe and wow it's different.",Positive
7569669.mp4,My friend told me she/he was born in Chicago.,Positive
50802711.mp4,"Wow, Mary gave birth to a big baby.",Positive
50802415.mp4,John tells Mary many lies.,Negative
50801133.mp4,Mary loves many men.,Positive
50800935.mp4,Mary has a good car now.,Positive
50800837.mp4,"Mary enjoys acting, not reading.",Positive
33733337.mp4,"You're wrong, that is not pineapple cream cheese. I prefer lox.",Negative
3373539.mp4,"No, I wouldn't stop vomiting if I had pineapple cream cheese. Lox only is fine with me.",Positive
33735210.mp4,"No, not pineapple cream cheese. Lox is better for me, that's it.",Positive
33733139.mp4,I hope there's pineapple cream cheese.,Positive
33735111.mp4,I wish there was pineapple cream cheese.,Positive
33735013.mp4,I won't be thrilled if there's pineapple cream cheese.,Negative
33734717.mp4,"If my mom says I can go to the concert, I'll be thrilled.",Positive
33734618.mp4,I'm excited for when my friend and I go to the concert.,Positive
33734519.mp4,I will be thrilled if I see my friend tomorrow.,Positive
33734520.mp4,"I'm letting you know that the car is broken down, I used the the right key.",Negative
33734421.mp4,"No, I did use the right key. The car is broken.",Negative
2388447.mp4,John broke the window?,Negative
2388438.mp4,"Did John break the window?  no, he broke the door.",Negative
23883617.mp4,"Yes, he/she talks a lot.",Positive
23883322.mp4,You're going to the mall today? Can I join? My car has a flat.,Positive
23882926.mp4,"In the event of no snow, my trip has to be cancelled.",Negative
23882927.mp4,"When there is no snow, my (starts signing ""trip"") ski trip will be cancelled.",Negative
23882828.mp4,"When there's no snow, my ski trip is cancelled.",Negative
23882729.mp4,"If there is no snow, my trip is cancelled.",Negative
23882730.mp4,If there is no snow I will cancel my ski trip.,Negative
7028829.mp4,"Just so you know, your fingerspelling is lousy.",Negative
70287913.mp4,You said you wanted to punish him/her so go ahead don't dismiss it.,Negative
