Utterance video filename,translation,emotion
83664512.mp4,"I was like, “Oh, wow, that`s fine.” He wanted to transfer to Rochester because he wanted to work at RIT too.",Positive
254424.mp4,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".",Negative
254525.mp4,"Of course the parents would be scared. ""I am sorry"" is never a good thing.",Negative
254627.mp4,"The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are seven specialists for only two parents. Wow.",Positive
254728.mp4,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".",Negative
257368.mp4,"They often use the word ""diagnosis"" It's very negative and it's used for more negative references, such as sickness or cancer. Or maybe terminal illness.",Negative
254829.mp4,"Why don't they use a word like ""identified"" as in ""I've identified this child deaf""? Now it does not seem bad at all.",Positive
254830.mp4,Now parents often would start considering discussing with the hospital for the early intervention. But the word makes it seems like they are intervening.,Positive
255033.mp4,"The baby is just deaf. It's not their fault, they're doing perfectly fine.",Positive
255844.mp4,That makes it to seem like an opportunity to do more than one.,Positive
256148.mp4,It would turn into a positive thing.,Positive
256351.mp4,A Deaf role model who has been trained can show the parents that he/she is perfectly fine.,Positive
256352.mp4,He/she can read and write. He/she can communicate. He/she can work. He/she has an education. There's a long list of that and he/she is perfectly fine.,Positive
256961.mp4,Be friends with their child's friend's parents. It's important to be connected and they must collaborate with others.,Positive
257265.mp4,"When a deaf child does not have a Deaf mentor, the family will continue to be disappointed and their grief will last longer.",Negative
7565512.mp4,"Wow, his/her friend is a tall man.",Positive
7566320.mp4,"Wow, he/she left fast.",Positive
7569059.mp4,"Wow, it's raining now, whatever, I'm going out still.",Positive
7569160.mp4,Wow. There are so many big cakes of different kinds; do I have to pick one?,Positive
7569363.mp4,"Wow, that man knows George Clooney.",Positive
7569364.mp4,Now there is a big expensive house. It's really beautiful.,Positive
7569466.mp4,Pete loves driving; he has many different cars.,Positive
7569567.mp4,"I used to read the New York Times, but now I read the Boston Globe and wow it's different.",Positive
50802711.mp4,"Wow, Mary gave birth to a big baby.",Positive
50801133.mp4,Mary loves many men.,Positive
50800837.mp4,"Mary enjoys acting, not reading.",Positive
33734618.mp4,I'm excited for when my friend and I go to the concert.,Positive
33734519.mp4,I will be thrilled if I see my friend tomorrow.,Positive
7028829.mp4,"Just so you know, your fingerspelling is lousy.",Negative
70287913.mp4,You said you wanted to punish him/her so go ahead don't dismiss it.,Negative
70287814.mp4,It's illegal to not have a tax.,Negative
70287518.mp4,I'm happy.,Positive
70286531.mp4,"I doubt that the two of them have decided what to do yet, and I'm confused by that.",Negative
70286532.mp4,I think Obama will win again.,Positive
9799979.mp4,It's raining so much. Wow.,Positive
979311.mp4,"If I don't study, I will fail.",Negative
979212.mp4,"If I don't study, I will fail.",Negative
979213.mp4,"If I don't study, I will fail.",Negative
977929.mp4,"If you win the lottery, will you go to Jamaica?",Positive
7578507.mp4,Farms like the hot summers because it's easy to grow big vegetables.,Positive
75784415.mp4,"On hot summer days, Mary loves drinking lemonade.",Positive
75783724.mp4,John is a really good liar. I fell for everything he said. I'm sick of him.,Negative
1194707.mp4,"Stop lying, it's not funny. Where's mom?",Negative
11946415.mp4,Mother suspected that the boy was lying.,Negative
11946020.mp4,Was the movie Election any good? Is it funny?,Positive
11945921.mp4,"That movie, Election, is weird but it's funny.",Positive
58866812.mp4,"When it's cold outside, I love drinking hot chocolate.",Positive
58866319.mp4,I like that boy. He's funny.,Positive
58865924.mp4,The boy lied and blamed the dog.,Negative
26827419.mp4,"John didn't get into an accident with a truck, he got into an accident with another car.",Negative
36298782.mp4,The weather is lousy today.,Negative
36297785.mp4,Mom likes surprises.,Positive
36296786.mp4,The weather today is beautiful.,Positive
36292794.mp4,"Yes, I like pineapple cream cheese.",Positive
36288803.mp4,Dad is like me. He likes chocolate cereal.,Positive
5596624.mp4,Who loves Bill?,Positive
5596228.mp4,Why is dad upset? I have no idea...,Negative
5595834.mp4,Did someone win the lottery?,Positive
154108.mp4,"""Today I went out and the weather was lousy."" ""No, it's beautiful and warm outside. It's perfect.""",Positive
1540613.mp4,"""Texas has a good football team."" ""No they have a lousy team and they are losing. They haven't won a game yet.""",Negative
1539625.mp4,"""Your mom will love the surprise party."" ""No, my mom hates surprises.""",Positive
17602177.mp4,"Last night, there was an accident and traffic was horrible.",Negative
17598184.mp4,"I love action movies, not boring dramas.",Positive
17597185.mp4,I know that I should enter the haunted house at my own risk.,Negative
17596188.mp4,The movie is really scary.,Negative
17593193.mp4,I love riding in airplanes and flying different places.,Positive
17590198.mp4,My worst enemy is my alarm clock.,Negative
17586206.mp4,I love apples in the fall.,Positive
17584208.mp4,"I was picked to join the club. Wow, it was an honor.",Positive
4231813.mp4,The horses running on the farm hate when it rains,Negative
4232117.mp4,When I meet new people I`m lousy at memorizing their names.,Negative
4232319.mp4,"Honestly, I don`t like commuting to work by bicycle.",Positive
4232624.mp4,My sister hates water skiing because it is hard to balance.,Negative
4232725.mp4,My friend doesn`t want to buy a plaid shirt.,Positive
4233332.mp4,My friends talked and decided not to crash the party.,Positive
4233433.mp4,My friends realized they didn`t want a pizza party because it has been the norm.,Positive
4233941.mp4,Mother looks sick? How?,Negative
4234042.mp4,Who is sick?,Negative
4234143.mp4,Who is sick?,Negative
4234448.mp4,When does the bad weather start in Boston?,Negative
4235056.mp4,Who will join the friends` outing to the movie theater?,Positive
4235562.mp4,Who loves to watch fireworks?,Positive
4235563.mp4,Who loves to watch fireworks?,Positive
4235664.mp4,Who loves watching fireworks?,Positive
4236577.mp4,Why does that friend look like he`s going to pass out?,Positive
4236780.mp4,When is the pizza party that my friend is hosting?,Positive
1572089.mp4,I love fireworks because they`re beautiful and loud.,Positive
15720711.mp4,My friends tend to play Frisbee at the park.,Positive
15720414.mp4,My friend wanted a plaid shirt because there will be a formal party soon.,Positive
15720218.mp4,I enjoyed talking with Jessica and Donna because I enjoy talking in ASL.,Positive
15719823.mp4,My friend crashed the party because he had just finished his final exam.,Positive
15719724.mp4,My friend hosted a pizza party because he loves pizza.,Positive
15719527.mp4,"If Bob gives his girlfriend roses, she will be happy.",Positive
15718934.mp4,"When a bad storm comes to Boston, I will stay home.",Negative
15718836.mp4,"If Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.",Positive
15718639.mp4,"If clothes are on sale, my friends and I are definitely going to the mall.",Positive
15718047.mp4,"If my friends play Frisbee, I will join and play.",Positive
15717948.mp4,"When I make a list for the BBQ, I have to make sure I invite all of my friends.",Positive
