video_name,caption,compound_score,emotion
2751812.mp4,There's something strange about myself.,-0.2023,Somewhat Negative
98592049.mp4,I never lived in a house...,0.0,Neutral
98857459.mp4,I was born in Florida.,0.0,Neutral
98881709.mp4,I lived there in a house with my parents and two brothers...,0.0,Neutral
98895873.mp4,... while I was growing up until I was six  and a half years old.,0.1779,Somewhat Positive
99038142.mp4,My family decided to move to Vermont because my father got a job transfer with IBM.,0.0,Neutral
99065608.mp4,"We were okay with it, so that`s when my family moved there.",0.2263,Somewhat Positive
99084529.mp4,I grew up there between the age of six and a half and thirteen.,0.0,Neutral
99164108.mp4,"Still when I was twelve and a half years old, after six and a half years in all, my father found out that he would have to move away again",0.0,Neutral
99210571.mp4,"Because his job involved a big project located south, in New York.",0.0,Neutral
76719526.mp4,"So, it wasn't worth it for him to commute frequently for a long distance, it was better for the family to move away.",0.3036,Somewhat Positive
99305816.mp4,"So, we agreed with the decision and went ahead and moved south to New York; it was around an hour north of NYC.",0.2732,Somewhat Positive
99370717.mp4,"But, you might wonder how I managed, with moving frequently, well I was home schooled.",0.3919,Somewhat Positive
99395897.mp4,so I didn`t need to worry about attending a hearing school or a Deaf school.,-0.4404,Negative
99454786.mp4,"My mother taught my two brothers and me, so it was easier for us to move around.",0.4703,Positive
99499600.mp4,So we moved south to New York,0.0,Neutral
99523150.mp4,That went on for around six years.,0.0,Neutral
99571136.mp4,"I guess I should`ve been moving away again, but my parents were okay with the same job.",0.3291,Somewhat Positive
99639413.mp4,"So, may seem like I stayed there longer than seven years.    But then it hit me...",0.1901,Somewhat Positive
83323313.mp4,I decided I wanted to transfer  to the Rochester Institute.,0.0,Neutral
83360967.mp4,"I wanted to be involved in sports and after-school activities, plus many other things. I wanted to be more socialized. So,",0.0,Neutral
83444920.mp4,"My parents were alright with it. I transferred to RSD, I stayed in the dorm.",0.25,Somewhat Positive
83470674.mp4,"So basically, I almost never went home to except for vacations or long weekends, that`s when I would commute. But, most of the time I stayed in Rochester...",0.0,Neutral
83507101.mp4,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.",0.0,Neutral
83537939.mp4,"I moved into the dorm again. During that time, my parents had been living where they were for more than seven years, but I had already left home before that.",0.0,Neutral
83594638.mp4,When I was nearly all done with RIT. after about my third year. my father sensed that he had pretty much had it with IBM; he wanted to retire and change his career.,0.4939,Positive
83719008.mp4,"So, the family in fact move here, and I took the opportunity to move in and live with my family at the new house in Rochester.",0.4215,Positive
83757971.mp4,"Since then, I have lived there for around almost three years.",0.0,Neutral
83875522.mp4,"I graduated recently, so that`s means I`ll be looking for a job, probably I`ll move away, so I won't have lived there for seven years.   Now, I`m wondering from now on with the new job does that mean I might be moving around again for the next seven years or less?   So I`m wondering, let`s see, oh well.",0.2732,Somewhat Positive
25317.mp4,I will talk about the early invention field and how hospitals deal with informing the parents when the child is Deaf.,0.0,Neutral
25339.mp4,"I will list some. For example, the power of language in hospitals.",0.0,Neutral
253410.mp4,"Not just in the hospitals, but in general.",0.0,Neutral
253411.mp4,There is one interesting study. What the study did they grouped people together and have them watch a video clip of car accident.,-0.1027,Somewhat Negative
253512.mp4,Then they regathered the groups a week later and asked them some questions.,0.0,Neutral
253613.mp4,"For example, they used different words for each group while asking them the questions.",0.0,Neutral
253714.mp4,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or five different words/groups.,0.0,Neutral
254018.mp4,"Similarly, the study asks them how fast were the cars going before they crashed into each other.",0.0,Neutral
255439.mp4,"So, for the HIT group, they asked them how fast were the cars going before they HIT?",0.0,Neutral
