video_name,caption,compound_score,emotion
83664512.mp4,"I was like, “Oh, wow, that`s fine.” He wanted to transfer to Rochester because he wanted to work at RIT too.",0.743,Positive
25328.mp4,There are so many things that are wrong with the system.,-0.4767,Negative
253715.mp4,Then they would ask the HIT group about the car and whether if the glass was broken.,-0.4767,Negative
255438.mp4,Or they will ask another group SMASHED about the car and whether if the glass was broken.,-0.4767,Negative
253816.mp4,Or ask the COLLIDED group about the car and if the glass was broken?,-0.4767,Negative
253917.mp4,"Ask another group, the CRASHED group about the car and whether if the glass is broken.",-0.4767,Negative
254424.mp4,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".",-0.6486,Negative
254525.mp4,"Of course the parents would be scared. ""I am sorry"" is never a good thing.",-0.6814,Negative
254728.mp4,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".",-0.8977,Extremely Negative
257368.mp4,"They often use the word ""diagnosis"" It's very negative and it's used for more negative references, such as sickness or cancer. Or maybe terminal illness.",-0.944,Extremely Negative
254829.mp4,"Why don't they use a word like ""identified"" as in ""I've identified this child deaf""? Now it does not seem bad at all.",0.6542,Positive
254931.mp4,"""Intervention"" implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.",-0.343,Somewhat Negative
255033.mp4,"The baby is just deaf. It's not their fault, they're doing perfectly fine.",0.8052,Extremely Positive
255844.mp4,That makes it to seem like an opportunity to do more than one.,0.6486,Positive
255946.mp4,The parents might will perceive this as something they should to be upset about.,-0.3818,Somewhat Negative
256351.mp4,A Deaf role model who has been trained can show the parents that he/she is perfectly fine.,0.7184,Positive
256352.mp4,He/she can read and write. He/she can communicate. He/she can work. He/she has an education. There's a long list of that and he/she is perfectly fine.,0.7184,Positive
257265.mp4,"When a deaf child does not have a Deaf mentor, the family will continue to be disappointed and their grief will last longer.",-0.743,Negative
2682847.mp4,The car is broken.,-0.4767,Negative
2682838.mp4,The car broke down.,-0.4215,Negative
26827616.mp4,"Cousin John's car broke down, do you remember?",-0.4215,Negative
26827517.mp4,"It wasn't John whose car broke down, it was Mary.",-0.4215,Negative
26827419.mp4,"John didn't get into an accident with a truck, he got into an accident with another car.",-0.7351,Negative
26827321.mp4,The car is broken.,-0.4767,Negative
36298782.mp4,The weather is lousy today.,-0.5423,Negative
36295789.mp4,Mom doesn't like surprises.,-0.4168,Negative
36294790.mp4,The weather isn't beautiful today.,-0.4847,Negative
36292794.mp4,"Yes, I like pineapple cream cheese.",0.6369,Positive
36291796.mp4,No! I don't like pineapple cream cheese.,-0.3404,Somewhat Negative
36288803.mp4,Dad is like me. He likes chocolate cereal.,0.6486,Positive
5596228.mp4,Why is dad upset? I have no idea...,-0.5859,Negative
154108.mp4,"""Today I went out and the weather was lousy."" ""No, it's beautiful and warm outside. It's perfect.""",0.7184,Positive
1540612.mp4,"""The book you read was really good."" ""No, it was lousy I didn't like it.""",-0.3436,Somewhat Negative
1540613.mp4,"""Texas has a good football team."" ""No they have a lousy team and they are losing. They haven't won a game yet.""",-0.735,Negative
1540021.mp4,"""Mc Donalds is a snobby restaurant right?"" ""No, Mcdonalds is a cheap restaurant. They serve hamburgers.""",-0.4019,Negative
1539625.mp4,"""Your mom will love the surprise party."" ""No, my mom hates surprises.""",0.7906,Extremely Positive
17602177.mp4,"Last night, there was an accident and traffic was horrible.",-0.765,Extremely Negative
17598184.mp4,"I love action movies, not boring dramas.",0.7321,Positive
17597185.mp4,I know that I should enter the haunted house at my own risk.,-0.6369,Negative
17582212.mp4,I watched a movie last night. I was really scared.,-0.4927,Negative
17596188.mp4,The movie is really scary.,-0.5413,Negative
17593193.mp4,I love riding in airplanes and flying different places.,0.6369,Positive
17590198.mp4,My worst enemy is my alarm clock.,-0.875,Extremely Negative
17592194.mp4,Alcohol is not always good.,-0.3412,Somewhat Negative
17588201.mp4,I analyzed and looked over the math problem.,-0.4019,Negative
17586206.mp4,I love apples in the fall.,0.6369,Positive
17584208.mp4,"I was picked to join the club. Wow, it was an honor.",0.8481,Extremely Positive
28816.mp4,"To tell the truth, I love you because you make people laugh so hard!",0.86,Extremely Positive
29019.mp4,"Last night, I played a close game of basketball with my friend. The score was 30-28 when it ended.",0.6808,Positive
29423.mp4,I always get sick in winter because I wear flip-flops.,-0.5106,Negative
29525.mp4,The kids hate their principal because he bawls them out if they have not done their homework.,-0.5719,Negative
29626.mp4,I missed my morning class because I didn`t wake up to my alarm.,-0.5574,Negative
29931.mp4,"Honestly, if I fail this class, my mom will lose it.",-0.4939,Negative
30438.mp4,"""Is the movie good?"" ""No, it was wonderful.""",0.765,Extremely Positive
84088.mp4,My friend goes out to a party.,0.7096,Positive
841111.mp4,My friend is currently planning a surprise event.,0.6486,Positive
841314.mp4,My friend is playing video games.,0.6124,Positive
841618.mp4,Is your friend`s party good?,0.6808,Positive
841720.mp4,"Is it fun going fishing with your friends? (starts out signing ""fishing"" but repairs to ""friend"")",0.8176,Extremely Positive
841821.mp4,Will Bob be surprised at his surprise party?,0.6908,Positive
842226.mp4,Does your friend really love surfing the internet?,0.8268,Extremely Positive
842327.mp4,Does your friend love surfing the Internet?,0.8126,Extremely Positive
843443.mp4,Why does your friend love travelling?,0.8126,Extremely Positive
844052.mp4,"If my friend goes out to a party, I will join them for sure.",0.8555,Extremely Positive
844153.mp4,"If my friend goes out to a party, my roommate and I will join.",0.7964,Extremely Positive
844255.mp4,"If my boss summons me, everyone will know I`m in trouble.",-0.4019,Negative
844356.mp4,"If my friend goes out fishing, I have to monitor the weather to make sure it`s fine for fishing.",0.743,Positive
844457.mp4,"When my friend goes out fishing, the fish has to go in the bucket immediately so it will be fresh.",0.6705,Positive
844458.mp4,"If Bob is surprised at his surprise party, it is commendable because it is difficult to surprise Bob.",0.6486,Positive
844762.mp4,"If my friend goes travelling, I just have to join.",0.6597,Positive
844864.mp4,"Once my friend starts playing video games, he is hooked to it all night until his eyes pop out.",0.6124,Positive
845270.mp4,My friend is going out to a party.,0.7096,Positive
845472.mp4,My friend loves to go fishing because he loves to eat fish.,0.891,Extremely Positive
845473.mp4,My friend is planning to surprise Bob because he's turning 21.,0.6486,Positive
845574.mp4,I arrived school late because I was in a bike accident.,-0.4767,Negative
845675.mp4,"My friend loves travelling, especially in Asian countries because there`s more of a variety of things to do, compared to other countries.",0.7845,Extremely Positive
845676.mp4,My friend plays video games all day because he does nothing else.,0.6369,Positive
845878.mp4,My friend loves the Internet because there are many different websites.,0.7845,Extremely Positive
557229.mp4,My friend went out to a party.,0.7096,Positive
5572412.mp4,The park is crowded because the kids love playing there.,0.7184,Positive
5572413.mp4,"I like the beach better than the lake because the beach has waves, while the lake has none.",0.6597,Positive
5572615.mp4,Mother has to clean the kitchen soon because a group of friends are coming over for the weekend.,0.7003,Positive
5572716.mp4,My friend loves to go outside because he loves camping.,0.891,Extremely Positive
5572717.mp4,My friend is an expert at making bonfires because he was a Boy Scout growing up.,0.5994,Positive
7343510.mp4,"If my friends go out, I will join them.",0.6486,Positive
7343915.mp4,My mother tends to be in a bad mood if Father arrives home late.,-0.5423,Negative
7700328.mp4,Friends went out camping; they enjoyed it.,0.7506,Extremely Positive
7987410.mp4,"If I fail a test, my mom will blow her top.",-0.4019,Negative
7986817.mp4,Was the movie good? Yes it was wonderful.,0.8519,Extremely Positive
7986818.mp4,"Is it raining outside? No, it's beautiful and warm outside.",0.7003,Positive
7986324.mp4,Bob frequently gives his sweetheart roses.,0.6486,Positive
7986027.mp4,Mom is sick.,-0.5106,Negative
7985731.mp4,Bad weather will come to Boston soon.,-0.5423,Negative
7984743.mp4,Friends play frisbee.,0.6705,Positive
7984644.mp4,I invited my friends to a barbeque party.,0.7003,Positive
7983954.mp4,My friends crashed the party.,0.7003,Positive
7983658.mp4,Did Bob give the rose to his sweetheart?,0.6486,Positive
7983461.mp4,Is mom sick?,-0.5106,Negative
7983363.mp4,My aunt makes the best blueberry pie.,0.6369,Positive
7983165.mp4,Is bad weather coming to Boston?,-0.5423,Negative
7982377.mp4,Is playing frisbee fun?,0.6249,Positive
7981687.mp4,Was I passed out drunk last night?,-0.34,Somewhat Negative
7981589.mp4,Did my friend go ahead with crashing the party?,0.7096,Positive
7981490.mp4,Bob wrote and sent a love letter to his wife because their anniversary is coming up soon.,0.6369,Positive
7981194.mp4,The teacher must clean the classroom everyday so that when the students come to class it will be clean.,0.6597,Positive
