video_name,caption,emotion
2751812.mp4,There's something strange about myself.,Neutral
98592049.mp4,I never lived in a house...,Neutral
98857459.mp4,I was born in Florida.,Neutral
98881709.mp4,I lived there in a house with my parents and two brothers...,Neutral
98895873.mp4,... while I was growing up until I was six  and a half years old.,Neutral
99038142.mp4,My family decided to move to Vermont because my father got a job transfer with IBM.,Neutral
99065608.mp4,"We were okay with it, so that`s when my family moved there.",Neutral
99084529.mp4,I grew up there between the age of six and a half and thirteen.,Neutral
99164108.mp4,"Still when I was twelve and a half years old, after six and a half years in all, my father found out that he would have to move away again",Neutral
99210571.mp4,"Because his job involved a big project located south, in New York.",Neutral
76719526.mp4,"So, it wasn't worth it for him to commute frequently for a long distance, it was better for the family to move away.",Neutral
99305816.mp4,"So, we agreed with the decision and went ahead and moved south to New York; it was around an hour north of NYC.",Neutral
99370717.mp4,"But, you might wonder how I managed, with moving frequently, well I was home schooled.",Positive
99395897.mp4,so I didn`t need to worry about attending a hearing school or a Deaf school.,Negative
99454786.mp4,"My mother taught my two brothers and me, so it was easier for us to move around.",Positive
99499600.mp4,So we moved south to New York,Neutral
99523150.mp4,That went on for around six years.,Neutral
99571136.mp4,"I guess I should`ve been moving away again, but my parents were okay with the same job.",Neutral
99639413.mp4,"So, may seem like I stayed there longer than seven years.    But then it hit me...",Neutral
83323313.mp4,I decided I wanted to transfer  to the Rochester Institute.,Neutral
83360967.mp4,"I wanted to be involved in sports and after-school activities, plus many other things. I wanted to be more socialized. So,",Neutral
83444920.mp4,"My parents were alright with it. I transferred to RSD, I stayed in the dorm.",Neutral
83470674.mp4,"So basically, I almost never went home to except for vacations or long weekends, that`s when I would commute. But, most of the time I stayed in Rochester...",Neutral
83507101.mp4,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.",Neutral
83537939.mp4,"I moved into the dorm again. During that time, my parents had been living where they were for more than seven years, but I had already left home before that.",Neutral
83594638.mp4,When I was nearly all done with RIT. after about my third year. my father sensed that he had pretty much had it with IBM; he wanted to retire and change his career.,Positive
83719008.mp4,"So, the family in fact move here, and I took the opportunity to move in and live with my family at the new house in Rochester.",Positive
83757971.mp4,"Since then, I have lived there for around almost three years.",Neutral
