video_name,caption,emotion
--7E2sU6zP4_11-5-rgb_front,"So they don't really have much of a symbolic meaning other than maybe life is richer, life is beautiful, but they've become so beautifully stylized and so you find them in different illuminative being rendered in very different ways.",Positive
--7E2sU6zP4_5-5-rgb_front,It's almost has a feathery like posture to it.,Positive
--7E2sU6zP4_6-5-rgb_front,"And so, it's used in architecture as a decorative element in architecture on columns and so on, and it's also used a great deal in illumination.",Positive
--7E2sU6zP4_7-5-rgb_front,"And so what's happened with the idea of acanthus leaf, is that it has is taken on all these different creative looks.",Positive
--8pSDeC-fg_10-5-rgb_front,Are you always focused on the positive aspects of your physical self instead of the negative?,Positive
--8pSDeC-fg_12-5-rgb_front,Low self esteem tends to bring us down and there's a set of thoughts or cognitions that tend to go with low self esteem.,Negative
--8pSDeC-fg_13-5-rgb_front,"Such as I am unlove, unlovable and no one will like me.",Negative
--8pSDeC-fg_14-5-rgb_front,"By doing cognitive therapy and working on those thoughts, we can help our clients to feel better about themselves by gaining a more accurate appraisal of themselves, their situation and their environment.",Positive
--8pSDeC-fg_16-5-rgb_front,This is Dr. Art Bowler and this has been how to tell if you have low self esteem.,Negative
--8pSDeC-fg_3-5-rgb_front,In this clip I'm going to talk about how to tell if you have low self esteem.,Negative
--8pSDeC-fg_4-5-rgb_front,Low self esteem or a low feeling about oneself is unfortunately very common.,Negative
--8pSDeC-fg_6-5-rgb_front,"When one has low self esteem, the way you can tell is look in the mirror.",Negative
-00cp1iGiDw_10_11-5-rgb_front,"Now make sure your client is comfortable in the side position, supporting your head, knee supported, arms are resting in front comfortably.",Positive
-00cp1iGiDw_12-5-rgb_front,I lift it up enough to make sure that I'm comfortable.,Positive
-00cp1iGiDw_14-5-rgb_front,Always make sure you get a little thumbing in there too.,Positive
-00cp1iGiDw_2-5-rgb_front,"Place the thumb, place the thumb, just on the side of leg, and just kind of, you'll feel that you'll feel a little groove in there so you're not pressing up on any bones.",Positive
-00cp1iGiDw_5-5-rgb_front,"Coming in here and again, nice rocking back and forth, back and forth.",Positive
-00cp1iGiDw_6-5-rgb_front,"Not applying too much thumb pressure, to not only save your own thumbs but to not kind of over press on your client.",Negative
-06_nJnhORg_0-5-rgb_front,"Always giving a little bit of Meta, a little loving kindness as you finish.",Positive
-06_nJnhORg_12-5-rgb_front,"Placing the palm, placing the palm and then start in a nice rocking fashion.",Positive
-06_nJnhORg_14-5-rgb_front,"And you can do this as long or as short as the massage requires, time wise or your client's needs.",Positive
-06_nJnhORg_15-5-rgb_front,"Coming to the other one, and again, just in a nice rocking position.",Positive
