video_name,caption,compound_score,emotion
--7E2sU6zP4_10-5-rgb_front,And I call them decorative elements because basically all they're meant to do is to enrich and color the page.,0.0,Neutral
--7E2sU6zP4_11-5-rgb_front,"So they don't really have much of a symbolic meaning other than maybe life is richer, life is beautiful, but they've become so beautifully stylized and so you find them in different illuminative being rendered in very different ways.",0.9054,Extremely Positive
--7E2sU6zP4_12-5-rgb_front,"Now this is very, this is actually an insert of a kind of an envelope for stationary, and this is a very Italian design.",0.0,Neutral
--7E2sU6zP4_13-5-rgb_front,"This is all the you know, take off on the idea of the acanthus leaf.",0.0,Neutral
--7E2sU6zP4_5-5-rgb_front,It's almost has a feathery like posture to it.,0.3612,Somewhat Positive
--7E2sU6zP4_6-5-rgb_front,"And so, it's used in architecture as a decorative element in architecture on columns and so on, and it's also used a great deal in illumination.",0.6249,Positive
--7E2sU6zP4_7-5-rgb_front,"And so what's happened with the idea of acanthus leaf, is that it has is taken on all these different creative looks.",0.4404,Positive
--7E2sU6zP4_8-5-rgb_front,And it has been wildly colored so you can look at some an acanthus leaf and you can start with the idea of a black and white drawing.,0.0,Neutral
--7E2sU6zP4_9-5-rgb_front,"Here, actually, I have some samples of traced acanthus leaves from different illuminated manuscripts.",0.0,Neutral
--8pSDeC-fg_0-5-rgb_front,Hi.,0.0,Neutral
--8pSDeC-fg_1-5-rgb_front,My name is Dr. Art Bowler.,0.0,Neutral
--8pSDeC-fg_10-5-rgb_front,Are you always focused on the positive aspects of your physical self instead of the negative?,0.3612,Somewhat Positive
--8pSDeC-fg_11-5-rgb_front,If so you have high self esteem.,0.0,Neutral
--8pSDeC-fg_12-5-rgb_front,Low self esteem tends to bring us down and there's a set of thoughts or cognitions that tend to go with low self esteem.,-0.4939,Negative
--8pSDeC-fg_13-5-rgb_front,"Such as I am unlove, unlovable and no one will like me.",-0.5267,Negative
--8pSDeC-fg_14-5-rgb_front,"By doing cognitive therapy and working on those thoughts, we can help our clients to feel better about themselves by gaining a more accurate appraisal of themselves, their situation and their environment.",0.8126,Extremely Positive
--8pSDeC-fg_15-5-rgb_front,It's really important to notice if you have low self esteem because then you can do something about it.,-0.0018,Neutral
--8pSDeC-fg_16-5-rgb_front,This is Dr. Art Bowler and this has been how to tell if you have low self esteem.,-0.2732,Somewhat Negative
