video_name,caption,emotion
--7E2sU6zP4_10-5-rgb_front,And I call them decorative elements because basically all they're meant to do is to enrich and color the page.,Neutral
--7E2sU6zP4_11-5-rgb_front,"So they don't really have much of a symbolic meaning other than maybe life is richer, life is beautiful, but they've become so beautifully stylized and so you find them in different illuminative being rendered in very different ways.",Positive
--7E2sU6zP4_12-5-rgb_front,"Now this is very, this is actually an insert of a kind of an envelope for stationary, and this is a very Italian design.",Neutral
--7E2sU6zP4_13-5-rgb_front,"This is all the you know, take off on the idea of the acanthus leaf.",Neutral
--7E2sU6zP4_5-5-rgb_front,It's almost has a feathery like posture to it.,Positive
--7E2sU6zP4_6-5-rgb_front,"And so, it's used in architecture as a decorative element in architecture on columns and so on, and it's also used a great deal in illumination.",Positive
--7E2sU6zP4_7-5-rgb_front,"And so what's happened with the idea of acanthus leaf, is that it has is taken on all these different creative looks.",Positive
--7E2sU6zP4_8-5-rgb_front,And it has been wildly colored so you can look at some an acanthus leaf and you can start with the idea of a black and white drawing.,Neutral
--7E2sU6zP4_9-5-rgb_front,"Here, actually, I have some samples of traced acanthus leaves from different illuminated manuscripts.",Neutral
--8pSDeC-fg_0-5-rgb_front,Hi.,Neutral
--8pSDeC-fg_1-5-rgb_front,My name is Dr. Art Bowler.,Neutral
--8pSDeC-fg_10-5-rgb_front,Are you always focused on the positive aspects of your physical self instead of the negative?,Positive
--8pSDeC-fg_11-5-rgb_front,If so you have high self esteem.,Neutral
--8pSDeC-fg_12-5-rgb_front,Low self esteem tends to bring us down and there's a set of thoughts or cognitions that tend to go with low self esteem.,Negative
--8pSDeC-fg_13-5-rgb_front,"Such as I am unlove, unlovable and no one will like me.",Negative
--8pSDeC-fg_14-5-rgb_front,"By doing cognitive therapy and working on those thoughts, we can help our clients to feel better about themselves by gaining a more accurate appraisal of themselves, their situation and their environment.",Positive
--8pSDeC-fg_15-5-rgb_front,It's really important to notice if you have low self esteem because then you can do something about it.,Neutral
--8pSDeC-fg_16-5-rgb_front,This is Dr. Art Bowler and this has been how to tell if you have low self esteem.,Neutral
--8pSDeC-fg_2-5-rgb_front,"And I'm a psychologist in Manhattan, New York City, where I have my own private practice.",Neutral
--8pSDeC-fg_3-5-rgb_front,In this clip I'm going to talk about how to tell if you have low self esteem.,Neutral
--8pSDeC-fg_4-5-rgb_front,Low self esteem or a low feeling about oneself is unfortunately very common.,Negative
--8pSDeC-fg_5-5-rgb_front,But fortunately it's very fixable.,Neutral
--8pSDeC-fg_6-5-rgb_front,"When one has low self esteem, the way you can tell is look in the mirror.",Neutral
--8pSDeC-fg_7-5-rgb_front,How do you feel about yourself?,Neutral
--8pSDeC-fg_8-5-rgb_front,What do you see?,Neutral
--8pSDeC-fg_9-5-rgb_front,Do you see the positive parts of your personality or do you notice the negative?,Neutral
-00cp1iGiDw_1-5-rgb_front,"In the side position, we're going to be palming and thumbing the sen lines on the legs.",Neutral
-00cp1iGiDw_10_11-5-rgb_front,"Now make sure your client is comfortable in the side position, supporting your head, knee supported, arms are resting in front comfortably.",Positive
-00cp1iGiDw_12-5-rgb_front,I lift it up enough to make sure that I'm comfortable.,Positive
-00cp1iGiDw_13-5-rgb_front,Come back and forth.,Neutral
-00cp1iGiDw_14-5-rgb_front,Always make sure you get a little thumbing in there too.,Neutral
-00cp1iGiDw_15-5-rgb_front,So we're going to start again on this one.,Neutral
-00cp1iGiDw_2-5-rgb_front,"Place the thumb, place the thumb, just on the side of leg, and just kind of, you'll feel that you'll feel a little groove in there so you're not pressing up on any bones.",Positive
-00cp1iGiDw_3-5-rgb_front,"And just thumb up and pressing in the thumb in the area where, my fingerprint would be not on the tips of that stabbing her with my fingernails.",Neutral
-00cp1iGiDw_4-5-rgb_front,Be very mindful of that.,Neutral
-00cp1iGiDw_5-5-rgb_front,"Coming in here and again, nice rocking back and forth, back and forth.",Positive
-00cp1iGiDw_6-5-rgb_front,"Not applying too much thumb pressure, to not only save your own thumbs but to not kind of over press on your client.",Negative
-00cp1iGiDw_7-5-rgb_front,Back and forth.,Neutral
-00cp1iGiDw_8-5-rgb_front,So starting with palming on sen lines with this leg.,Neutral
-00cp1iGiDw_9-5-rgb_front,Back and forth.,Neutral
