video_name,Source collection,caption
2751812.mp4,Cory_2013-6-25_sc0106,There's something strange about myself.
98592049.mp4,Cory_2013-6-25_sc0106,I never lived in a house...
98857459.mp4,Cory_2013-6-25_sc0106,I was born in Florida.
98881709.mp4,Cory_2013-6-25_sc0106,I lived there in a house with my parents and two brothers...
98895873.mp4,Cory_2013-6-25_sc0106,... while I was growing up until I was six  and a half years old.
99038142.mp4,Cory_2013-6-25_sc0106,My family decided to move to Vermont because my father got a job transfer with IBM.
99065608.mp4,Cory_2013-6-25_sc0106,"We were okay with it, so that`s when my family moved there."
99084529.mp4,Cory_2013-6-25_sc0106,I grew up there between the age of six and a half and thirteen.
99164108.mp4,Cory_2013-6-25_sc0106,"Still when I was twelve and a half years old, after six and a half years in all, my father found out that he would have to move away again"
99210571.mp4,Cory_2013-6-25_sc0106,"Because his job involved a big project located south, in New York."
76719526.mp4,Cory_2013-6-25_sc0106,"So, it wasn't worth it for him to commute frequently for a long distance, it was better for the family to move away."
99305816.mp4,Cory_2013-6-25_sc0106,"So, we agreed with the decision and went ahead and moved south to New York; it was around an hour north of NYC."
99370717.mp4,Cory_2013-6-25_sc0106,"But, you might wonder how I managed, with moving frequently, well I was home schooled."
99395897.mp4,Cory_2013-6-25_sc0106,so I didn`t need to worry about attending a hearing school or a Deaf school.
99454786.mp4,Cory_2013-6-25_sc0106,"My mother taught my two brothers and me, so it was easier for us to move around."
99499600.mp4,Cory_2013-6-25_sc0106,So we moved south to New York
99523150.mp4,Cory_2013-6-25_sc0106,That went on for around six years.
99571136.mp4,Cory_2013-6-25_sc0106,"I guess I should`ve been moving away again, but my parents were okay with the same job."
99639413.mp4,Cory_2013-6-25_sc0106,"So, may seem like I stayed there longer than seven years.    But then it hit me..."
83323313.mp4,Cory_2013-6-25_sc0106,I decided I wanted to transfer  to the Rochester Institute.
83360967.mp4,Cory_2013-6-25_sc0106,"I wanted to be involved in sports and after-school activities, plus many other things. I wanted to be more socialized. So,"
83444920.mp4,Cory_2013-6-25_sc0106,"My parents were alright with it. I transferred to RSD, I stayed in the dorm."
83470674.mp4,Cory_2013-6-25_sc0106,"So basically, I almost never went home to except for vacations or long weekends, that`s when I would commute. But, most of the time I stayed in Rochester..."
83507101.mp4,Cory_2013-6-25_sc0106,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology."
83537939.mp4,Cory_2013-6-25_sc0106,"I moved into the dorm again. During that time, my parents had been living where they were for more than seven years, but I had already left home before that."
83594638.mp4,Cory_2013-6-25_sc0106,When I was nearly all done with RIT. after about my third year. my father sensed that he had pretty much had it with IBM; he wanted to retire and change his career.
83664512.mp4,Cory_2013-6-25_sc0106,"I was like, “Oh, wow, that`s fine.” He wanted to transfer to Rochester because he wanted to work at RIT too."
83719008.mp4,Cory_2013-6-25_sc0106,"So, the family in fact move here, and I took the opportunity to move in and live with my family at the new house in Rochester."
83757971.mp4,Cory_2013-6-25_sc0106,"Since then, I have lived there for around almost three years."
83875522.mp4,Cory_2013-6-25_sc0106,"I graduated recently, so that`s means I`ll be looking for a job, probably I`ll move away, so I won't have lived there for seven years.   Now, I`m wondering from now on with the new job does that mean I might be moving around again for the next seven years or less?   So I`m wondering, let`s see, oh well."
45035462.mp4,Cory_2013-6-25_sc0106,Traduzione non trovata
45107545.mp4,Cory_2013-6-25_sc0106,Traduzione non trovata
45239274.mp4,Cory_2013-6-25_sc0106,Traduzione non trovata
45404906.mp4,Cory_2013-6-25_sc0106,Traduzione non trovata
25317.mp4,Rachel_2012-02-14_sc66,I will talk about the early invention field and how hospitals deal with informing the parents when the child is Deaf.
25328.mp4,Rachel_2012-02-14_sc66,There are so many things that are wrong with the system.
25339.mp4,Rachel_2012-02-14_sc66,"I will list some. For example, the power of language in hospitals."
253410.mp4,Rachel_2012-02-14_sc66,"Not just in the hospitals, but in general."
253411.mp4,Rachel_2012-02-14_sc66,There is one interesting study. What the study did they grouped people together and have them watch a video clip of car accident.
253512.mp4,Rachel_2012-02-14_sc66,Then they regathered the groups a week later and asked them some questions.
253613.mp4,Rachel_2012-02-14_sc66,"For example, they used different words for each group while asking them the questions."
253714.mp4,Rachel_2012-02-14_sc66,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or five different words/groups.
253715.mp4,Rachel_2012-02-14_sc66,Then they would ask the HIT group about the car and whether if the glass was broken.
255438.mp4,Rachel_2012-02-14_sc66,Or they will ask another group SMASHED about the car and whether if the glass was broken.
253816.mp4,Rachel_2012-02-14_sc66,Or ask the COLLIDED group about the car and if the glass was broken?
253917.mp4,Rachel_2012-02-14_sc66,"Ask another group, the CRASHED group about the car and whether if the glass is broken."
254018.mp4,Rachel_2012-02-14_sc66,"Similarly, the study asks them how fast were the cars going before they crashed into each other."
255439.mp4,Rachel_2012-02-14_sc66,"So, for the HIT group, they asked them how fast were the cars going before they HIT?"
255540.mp4,Rachel_2012-02-14_sc66,Ask the next group how fast were the cars going before they COLLIDED.
254019.mp4,Rachel_2012-02-14_sc66,The study notices how the HIT group thinks that the glass wasn't broken at all.
255641.mp4,Rachel_2012-02-14_sc66,"The car was going around 20 mph when it smashed. The SMASHED group said they think the car's glass was broken and it was going around 60 mph. But, actually, the glass wasn't broken at all."
254120.mp4,Rachel_2012-02-14_sc66,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.
254221.mp4,Rachel_2012-02-14_sc66,That's how powerful the language is.
254222.mp4,Rachel_2012-02-14_sc66,"We will be talking about early intervention now. When parents gives a birth to a baby, the baby would go to a hearing screening."
254323.mp4,Rachel_2012-02-14_sc66,The screening shows that the baby is deaf.
254424.mp4,Rachel_2012-02-14_sc66,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf""."
254525.mp4,Rachel_2012-02-14_sc66,"Of course the parents would be scared. ""I am sorry"" is never a good thing."
254626.mp4,Rachel_2012-02-14_sc66,Then they would refer the parents to the early intervention professionals.
254627.mp4,Rachel_2012-02-14_sc66,"The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are seven specialists for only two parents. Wow."
254728.mp4,Rachel_2012-02-14_sc66,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer""."
257368.mp4,Rachel_2012-02-14_sc66,"They often use the word ""diagnosis"" It's very negative and it's used for more negative references, such as sickness or cancer. Or maybe terminal illness."
255742.mp4,Rachel_2012-02-14_sc66,"While for the deaf babies, they are not any of them."
254829.mp4,Rachel_2012-02-14_sc66,"Why don't they use a word like ""identified"" as in ""I've identified this child deaf""? Now it does not seem bad at all."
