video_name,true_label,lstm_prob_negative,lstm_prob_neutral,lstm_prob_positive
2751812.mp4,Neutral,0.3571147,0.29260105,0.35028425
98592049.mp4,Neutral,0.4179899,0.28011447,0.30189562
98857459.mp4,Neutral,0.33005697,0.33766854,0.33227444
98881709.mp4,Neutral,0.3600031,0.31689397,0.32310298
98895873.mp4,Neutral,0.38180327,0.3068964,0.3113003
99038142.mp4,Neutral,0.36033508,0.30854118,0.33112377
99065608.mp4,Neutral,0.32981142,0.33740538,0.33278316
99084529.mp4,Neutral,0.3671629,0.29905647,0.33378053
99164108.mp4,Neutral,0.31221837,0.3283319,0.35944974
99210571.mp4,Neutral,0.4454891,0.28517184,0.2693391
76719526.mp4,Neutral,0.44278482,0.271969,0.2852462
99305816.mp4,Neutral,0.4491541,0.2720552,0.2787907
99370717.mp4,Positive,0.49808055,0.2407074,0.26121202
99395897.mp4,Negative,0.44531646,0.27397048,0.280713
99454786.mp4,Positive,0.42671138,0.25730821,0.31598046
99499600.mp4,Neutral,0.33054602,0.33714178,0.3323122
99523150.mp4,Neutral,0.35297698,0.31316,0.333863
99571136.mp4,Neutral,0.3756707,0.2864897,0.3378396
99639413.mp4,Neutral,0.3686702,0.2899698,0.34136
83323313.mp4,Neutral,0.3615102,0.29558757,0.3429023
83360967.mp4,Neutral,0.4300006,0.30213228,0.26786718
83444920.mp4,Neutral,0.33860648,0.3166808,0.3447128
83470674.mp4,Neutral,0.3975825,0.2791363,0.32328126
83507101.mp4,Neutral,0.38046327,0.2591884,0.3603483
83537939.mp4,Neutral,0.36772144,0.31294492,0.31933358
83594638.mp4,Positive,0.38570252,0.3051243,0.30917317
83719008.mp4,Positive,0.44336182,0.25628918,0.30034897
83757971.mp4,Neutral,0.44767147,0.30088207,0.25144646
83875522.mp4,Neutral,0.4056426,0.2905152,0.3038422
25317.mp4,Neutral,0.3903264,0.26315293,0.3465206
25339.mp4,Neutral,0.39832225,0.23274404,0.36893365
253410.mp4,Neutral,0.3305471,0.3371414,0.33231157
