video_name,filename,Sentiment,original_caption,whisper_transcript,WER,STATUS
7700328.mp4,7700328_positive_score2.wav,2,Friends went out camping; they enjoyed it., And myself and my girls and my girls all sets. You can find whatever you're sounding. We think that's we.,2.8571,DISCARD
36918922.mp4,36918922_positive_score3.wav,3,I bought a gift for my mom. She will love it!, And you can turn on a flood before I bought a gift. And she love it. I bought a gift for my mom. She'll love it. And you can turn on a flood before I bought a gift.,2.7273,DISCARD
17593193.mp4,17593193_positive_score3.wav,3,I love riding in airplanes and flying different places.," And so with what I've learned, there are not, there's no problematic time, because I would rhythm in my cache, or attentions where different metal.",2.4444,DISCARD
31657453.mp4,31657453_negative_score-2.wav,-2,Is there bad weather in Boston now?," is what is the meaning? The meaning matches the meaning for completely, completely what, whatsoever. Is there bad weather in Boston now?",2.1429,DISCARD
7981589.mp4,7981589_negative_score-1.wav,-1,Did my friend go ahead with crashing the party?, I told me about the prairie of that Y. I told me about that in this 11. Did my friend go ahead with crushing the party?,2.0,DISCARD
841111.mp4,841111_positive_score3.wav,3,My friend is currently planning a surprise event., um you can be seen my friend when we be have uh uh seen my friend is currently planning a surprise event,1.75,DISCARD
8841.mp4,8841_positive_score3.wav,3,That picture you gave me was beautiful.," Uh, okay, well, I think that, oh, um, that picture you gave me was, was beautiful, you know.",1.5714,DISCARD
254931.mp4,254931_negative_score-3.wav,-3,"""Intervention"" implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well."," Prototo kan kita bahawa perkara 이�u yang terwordai lagi untuk pelakόσau Mengejawlah cesuku apabila sesuatu yang buat kami từ isso, atau apabila maka tahan tidak membantu saya",1.08,DISCARD
8395670.mp4,8395670_negative_score-1.wav,-1,That student who was on the quiz show didn't win.,icha beberapa kali di antara kedua itu berapa diving 베ima.,1.0,DISCARD
17596188.mp4,17596188_negative_score-2.wav,-2,The movie is really scary., buzzing,1.0,DISCARD
172022.mp4,172022_positive_score3.wav,3,I love lox cream cheese.," And, you know, I love watch cream cheese. And...",1.0,DISCARD
7984743.mp4,7984743_positive_score1.wav,1,Friends play frisbee., Friends play for his B.,1.0,DISCARD
79792122.mp4,79792122_positive_score3.wav,3,My friend just crashed a party because he recently finished his last exam., just finish his last exam and have his role. My friend just crashed a party because he reached and he finished his last exam.,0.9231,DISCARD
17586206.mp4,17586206_positive_score3.wav,3,I love apples in the fall.," Um, thank God that was in the fall.",0.8333,DISCARD
1470684.mp4,1470684_negative_score-3.wav,-3,The cat the neighbors found is really hungry. Wow.," The cat the neighbors found is really hungry. Oh, oh, oh. This is a maver.",0.7778,DISCARD
3381715.mp4,3381715_positive_score3.wav,3,"If you want to know, if John wins he will get a teddy bear.", if you want to know if John wins he will get it anywhere if John wins he will get it anywhere,0.7143,DISCARD
28816.mp4,28816_positive_score3.wav,3,"To tell the truth, I love you because you make people laugh so hard!"," If you go to tell the truth, I love me because you're kind of badly. And you make people laugh so par.",0.7143,DISCARD
31657848.mp4,31657848_negative_score-3.wav,-3,Is Mother sick?," Ah, his mother sick.",0.6667,DISCARD
31659327.mp4,31659327_positive_score2.wav,2,I love fireworks., So fireworks.,0.6667,DISCARD
7983461.mp4,7983461_negative_score-3.wav,-3,Is mom sick?, Isn't mum sick?,0.6667,DISCARD
842226.mp4,842226_negative_score-1.wav,-1,Does your friend really love surfing the internet?, The self-friend really loved self-ing the internet.,0.625,DISCARD
173949.mp4,173949_negative_score-1.wav,-1,"If Mary's car broke down, John would have to take her to work.", If Mary's car broke down...,0.6154,DISCARD
8395867.mp4,8395867_positive_score3.wav,3,"Wow, that coat you just bought looks warm!", the coat you just bought looks warm and you,0.5,DISCARD
5596228.mp4,5596228_negative_score-3.wav,-3,Why is dad upset? I have no idea...," Oh, why is that upset? I've no idea.",0.5,DISCARD
841720.mp4,841720_positive_score2.wav,2,"Is it fun going fishing with your friends? (starts out signing ""fishing"" but repairs to ""friend"")", Is it fun going fishing with your friends?,0.5,DISCARD
32100.mp4,32100_negative_score-2.wav,-2,Wow! That watch costs three thousand dollars!," Wow. That watch costs $3,000.",0.4286,DISCARD
7983954.mp4,7983954_negative_score-1.wav,-1,My friends crashed the party.," my friends, uh, crashed the party. Uh,",0.4,DISCARD
3382011.mp4,3382011_negative_score-3.wav,-3,"If Mary gets home late, John will probably be upset."," If Mary gets home made, uh, Townal Polly be upset.",0.4,DISCARD
36294790.mp4,36294790_negative_score-2.wav,-2,The weather isn't beautiful today., Huh! The weather is beautiful today.,0.4,DISCARD
173442.mp4,173442_negative_score-2.wav,-2,The car is really broken!," Oh, the kite is really broken.",0.4,DISCARD
173543.mp4,173543_negative_score-3.wav,-3,"John didn't break the truck, he actually destroyed the car.", John did him break the truck. The accident destroyed the car.,0.4,DISCARD
29626.mp4,29626_negative_score-2.wav,-2,I missed my morning class because I didn`t wake up to my alarm., I missed my morning class because this is a tree. It didn't wake up to my alarm.,0.3846,DISCARD
3380433.mp4,3380433_negative_score-2.wav,-2,"If John eats spinach, he will get sick."," Oh, if Johnny's spinach, he will get sick.",0.375,DISCARD
