filename,video_id,original_caption,whisper_transcript,norm_ref,norm_hyp,WER,STATUS
256351_negative_score-1.wav,256351,A Deaf role model who has been trained can show the parents that he/she is perfectly fine., A death raw model who has been trained can show the parents that he or she is perfectly fine.,a deaf role model who has been trained can show the parents that heshe is perfectly fine,a death raw model who has been trained can show the parents that he or she is perfectly fine,0.2941,DISCARD
8395670_negative_score-1.wav,8395670,That student who was on the quiz show didn't win., Itu kedua. Naazzcrishui tidak hentap. Sudah author Piwak,that student who was on the quiz show didnt win,itu kedua naazzcrishui tidak hentap sudah author piwak,1.0,DISCARD
8397838_negative_score-1.wav,8397838,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida."," American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.",american airlines isnt that expensive but if it was then id be stuck because its the only airline that flies between boston and florida,american airlines isnt that expensive but if it was then id be stuck because its the only airline that flies between boston and florida,0.0,KEEP
17597185_negative_score-2.wav,17597185,I know that I should enter the haunted house at my own risk., I know that as you enter the haunted house and my own place.,i know that i should enter the haunted house at my own risk,i know that as you enter the haunted house and my own place,0.3077,DISCARD
9956_positive_score2.wav,9956,Which vegetable do the kids love?, which vegetable do the kids love?,which vegetable do the kids love,which vegetable do the kids love,0.0,KEEP
1540613_positive_score1.wav,1540613,"""Texas has a good football team."" ""No they have a lousy team and they are losing. They haven't won a game yet."""," Um, Texas has a good football team. Um, no, they have a lousy team and they are losing. They haven't won a game yet. Um,",texas has a good football team no they have a lousy team and they are losing they havent won a game yet,um texas has a good football team um no they have a lousy team and they are losing they havent won a game yet um,0.1364,DISCARD
17596188_negative_score-2.wav,17596188,The movie is really scary., And I also ride a bike took off from a vehicle and the rest provided a good light.,the movie is really scary,and i also ride a bike took off from a vehicle and the rest provided a good light,3.4,DISCARD
17588201_negative_score-1.wav,17588201,I analyzed and looked over the math problem., I analyzed and looked over the mass problem.,i analyzed and looked over the math problem,i analyzed and looked over the mass problem,0.125,DISCARD
7119_positive_score3.wav,7119,"If you like chocolate, you will love this cake."," If you like chocolate, you will love this cake.",if you like chocolate you will love this cake,if you like chocolate you will love this cake,0.0,KEEP
3098_positive_score3.wav,3098,My best friend visited Boston yesterday., My best friend visited Boston yesterday.,my best friend visited boston yesterday,my best friend visited boston yesterday,0.0,KEEP
173036_negative_score-2.wav,173036,The car really broke down., The car really broke down.,the car really broke down,the car really broke down,0.0,KEEP
83664512_positive_score2.wav,83664512,"I was like, “Oh, wow, that`s fine.” He wanted to transfer to Rochester because he wanted to work at RIT too."," And so yeah, he was, he was, no, wow, that's fine. He wanted to transfer to Rochester because he wanted to work at RIT too.",i was like oh wow thats fine he wanted to transfer to rochester because he wanted to work at rit too,and so yeah he was he was no wow thats fine he wanted to transfer to rochester because he wanted to work at rit too,0.3333,DISCARD
29052074_negative_score-1.wav,29052074,"Often because judgments come from the audio-oral perspective, the sensory politics results in judgments of broken sounds and harsh noises, This needs to be improved."," Often because, judgments come from the audio oral perspective, the sensory politics results and judgments of broken sounds and harsh noises. This needs to be improved.",often because judgments come from the audiooral perspective the sensory politics results in judgments of broken sounds and harsh noises this needs to be improved,often because judgments come from the audio oral perspective the sensory politics results and judgments of broken sounds and harsh noises this needs to be improved,0.12,DISCARD
173745_negative_score-2.wav,173745,The car broke down., So the car broke down.,the car broke down,so the car broke down,0.25,DISCARD
7343915_negative_score-3.wav,7343915,My mother tends to be in a bad mood if Father arrives home late., My mother tends to be in a bad mood if father arrives home late.,my mother tends to be in a bad mood if father arrives home late,my mother tends to be in a bad mood if father arrives home late,0.0,KEEP
1540612_positive_score1.wav,1540612,"""The book you read was really good."" ""No, it was lousy I didn't like it."""," Ah, the book you read was really good. No, it was lousy, I didn't like it.",the book you read was really good no it was lousy i didnt like it,ah the book you read was really good no it was lousy i didnt like it,0.0667,KEEP
17602177_negative_score-1.wav,17602177,"Last night, there was an accident and traffic was horrible."," Last night, there was an accident, and traffic was horrible. And...",last night there was an accident and traffic was horrible,last night there was an accident and traffic was horrible and,0.1,KEEP
